City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,kayangel,8.0823,134.7173,300.06,81,96,2.58,PW,1746490993
258,bengkulu,-3.8004,102.2655,298.04,90,98,1.69,ID,1746490994
259,manor,19.75,72.9167,300.4,75,33,2.84,IN,1746490995
260,tsetserleg,47.475,101.4542,276.44,42,26,2.16,MN,1746490997
261,kone,-21.0595,164.8658,301.54,58,15,1.19,NC,1746490999
262,musoma,-1.5,33.8,293.71,83,100,2.06,TZ,1746491000
263,kaa-khem,51.6833,94.7333,279.27,83,100,1.21,RU,1746491001
264,usinsk,65.9939,57.5281,274.13,93,100,3.96,RU,1746490744
265,cabedelo,-6.9811,-34.8339,298.52,81,13,4.37,BR,1746491003
266,dunedin,-45.8742,170.5036,286.37,74,61,1.34,NZ,1746491005
267,zaozersk,69.4005,32.4476,268.57,97,100,2.25,RU,1746491006
268,port isabel,26.0734,-97.2086,301.17,82,75,7.72,US,1746491007
269,puerto deseado,-47.7503,-65.8938,283.37,70,53,6.32,AR,1746491008
270,nakuru,-0.2833,36.0667,287.51,94,99,0.38,KE,1746491009
271,bubaque,11.2833,-15.8333,299.2,76,78,5.36,GW,1746491010
272,new norfolk,-42.7826,147.0587,291.44,63,85,5.56,AU,1746491012
273,georgetown,5.4112,100.3354,300.11,92,20,2.24,MY,1746490884
274,canutama,-6.5339,-64.3831,297.82,80,78,1.19,BR,1746491014
275,opuwo,-18.0607,13.84,292.61,40,0,2.63,NA,1746491015
276,zimapan,20.75,-99.35,301.66,29,26,2.41,MX,1746491016
277,prince edward,44.0001,-77.2495,287.05,97,100,0.89,CA,1746491018
278,prince rupert,54.3161,-130.3201,282.2,87,100,16.46,CA,1746490972
279,penhalonga,-18.8911,32.6978,281.36,91,2,0.83,ZW,1746491021
280,lusacan,13.9528,121.3469,302.78,78,100,1.74,PH,1746491022
281,bentota,6.4254,79.9948,300.45,81,94,1.7,LK,1746491023
282,east london,-33.0153,27.9116,294.36,50,0,3.59,ZA,1746491025
283,lihue,21.9789,-159.3672,299.92,74,40,5.66,US,1746491026
284,busayra,30.7376,35.6078,284.88,54,0,1.18,JO,1746491027
285,callao,-12.0667,-77.15,296.88,82,20,1.54,PE,1746491028
286,sao jose de ribamar,-2.5619,-44.0542,301.36,82,26,4.75,BR,1746490760
287,sinop,41.7711,34.8709,283.01,54,0,3.24,TR,1746491032
288,castillos,-34.1667,-53.8333,288.88,95,98,1.11,UY,1746491033
289,codrington,-38.2667,141.9667,291.42,76,72,7.04,AU,1746491034
290,happy valley-goose bay,53.3168,-60.3315,275.32,35,75,3.09,CA,1746491035
291,basco,20.4487,121.9702,301.44,75,46,6.05,PH,1746491036
292,charters towers,-20.1,146.2667,295.93,65,3,5.46,AU,1746491037
293,keflavik,64.0049,-22.5624,280.39,93,75,4.63,IS,1746491039
294,soe,-9.8607,124.284,294.43,90,100,1.33,ID,1746491040
295,fort wellington,6.4,-57.6,299.26,85,33,3.88,GY,1746491041
296,bokhan,53.153,103.7714,283.36,41,97,1.55,RU,1746491042
297,as sulayyil,20.4607,45.5779,302.58,21,93,7.36,SA,1746491043
298,cabo san lucas,22.8909,-109.9124,294.68,44,0,10.73,MX,1746490829
299,mancora,-4.1078,-81.0475,297.65,71,61,3.88,PE,1746491046
300,sarankhola,22.3082,89.7897,299.16,83,25,1.18,BD,1746491048
